method  ,n ,graph_type ,p ,seed ,AR
MA_QAOA ,8 ,random0.5  ,1 ,   0 ,0.897483363243015
MA_QAOA ,8 ,random0.5  ,1 ,   1 ,0.9999999999918453
MA_QAOA ,8 ,random0.5  ,1 ,   2 ,0.8749999999988448
MA_QAOA ,8 ,random0.5  ,1 ,   3 ,0.899999999999114
MA_QAOA ,8 ,random0.5  ,1 ,   4 ,0.9999999999971955
MA_QAOA ,8 ,random0.5  ,1 ,   5 ,0.899999999997535
MA_QAOA ,8 ,random0.5  ,1 ,   6 ,0.9444444444372279
MA_QAOA ,8 ,random0.5  ,1 ,   7 ,0.8571428571407532
MA_QAOA ,8 ,random0.5  ,1 ,   8 ,0.892857142852686
MA_QAOA ,8 ,random0.5  ,1 ,   9 ,0.9090909090825136
MA_QAOA ,8 ,random0.5  ,1 ,  10 ,0.8888888888867371
MA_QAOA ,8 ,random0.5  ,1 ,  11 ,0.9090909090851705
MA_QAOA ,8 ,random0.5  ,1 ,  12 ,0.9545454545446421
MA_QAOA ,8 ,random0.5  ,1 ,  13 ,0.907735026914161
MA_QAOA ,8 ,random0.5  ,1 ,  14 ,0.9545454545436737
MA_QAOA ,8 ,random0.5  ,1 ,  15 ,0.9999999999959609
MA_QAOA ,8 ,random0.5  ,1 ,  16 ,0.8928571428560552
MA_QAOA ,8 ,random0.5  ,1 ,  17 ,0.9374999999951561
MA_QAOA ,8 ,random0.5  ,1 ,  18 ,0.9166666666663573
MA_QAOA ,8 ,random0.5  ,1 ,  19 ,0.9166666666509026
MA_QAOA ,8 ,random0.5  ,1 ,  20 ,0.9999999999946562
MA_QAOA ,8 ,random0.5  ,1 ,  21 ,0.9161227517436992
MA_QAOA ,8 ,random0.5  ,1 ,  22 ,0.8419278076856587
MA_QAOA ,8 ,random0.5  ,1 ,  23 ,0.9999999999953705
MA_QAOA ,8 ,random0.5  ,1 ,  24 ,0.8999999999962032
MA_QAOA ,8 ,random0.5  ,1 ,  25 ,0.9530389187971038
MA_QAOA ,8 ,random0.5  ,1 ,  26 ,0.8333333333323998
MA_QAOA ,8 ,random0.5  ,1 ,  27 ,0.944444444439382
MA_QAOA ,8 ,random0.5  ,1 ,  28 ,0.9615384615354904
MA_QAOA ,8 ,random0.5  ,1 ,  29 ,0.9231125224260791
MA_QAOA ,8 ,random0.5  ,1 ,  30 ,0.8888888888874907
MA_QAOA ,8 ,random0.5  ,1 ,  31 ,0.8928571428536204
MA_QAOA ,8 ,random0.5  ,1 ,  32 ,0.9166666666652398
MA_QAOA ,8 ,random0.5  ,1 ,  33 ,0.9999999999927057
MA_QAOA ,8 ,random0.5  ,1 ,  34 ,0.9999999999950229
MA_QAOA ,8 ,random0.5  ,1 ,  35 ,0.9999999999999313
MA_QAOA ,8 ,random0.5  ,1 ,  36 ,0.8333333333316308
MA_QAOA ,8 ,random0.5  ,1 ,  37 ,0.8419278076874208
MA_QAOA ,8 ,random0.5  ,1 ,  38 ,0.8706682062828814
MA_QAOA ,8 ,random0.5  ,1 ,  39 ,0.99999999999907
MA_QAOA ,8 ,random0.5  ,1 ,  40 ,0.9499999999954432
MA_QAOA ,8 ,random0.5  ,1 ,  41 ,0.9444444444416433
MA_QAOA ,8 ,random0.5  ,1 ,  42 ,0.884615384613838
MA_QAOA ,8 ,random0.5  ,1 ,  43 ,0.9545454545446361
MA_QAOA ,8 ,random0.5  ,1 ,  44 ,0.9615384615359646
MA_QAOA ,8 ,random0.5  ,1 ,  45 ,0.9230769230755543
MA_QAOA ,8 ,random0.5  ,1 ,  46 ,0.9077350269158142
MA_QAOA ,8 ,random0.5  ,1 ,  47 ,0.9583333333306266
MA_QAOA ,8 ,random0.5  ,1 ,  48 ,0.9166666666653627
MA_QAOA ,8 ,random0.5  ,1 ,  49 ,0.9499999999991686
MA_QAOA ,8 ,random0.5  ,1 ,  50 ,0.9077350269158255
MA_QAOA ,8 ,random0.5  ,1 ,  51 ,0.8499999999979261
MA_QAOA ,8 ,random0.5  ,1 ,  52 ,0.9999999999976028
MA_QAOA ,8 ,random0.5  ,1 ,  53 ,0.8999999999971076
MA_QAOA ,8 ,random0.5  ,1 ,  54 ,0.8181818181789751
MA_QAOA ,8 ,random0.5  ,1 ,  55 ,0.9444444444428739
MA_QAOA ,8 ,random0.5  ,1 ,  56 ,0.9499999999916504
MA_QAOA ,8 ,random0.5  ,1 ,  57 ,0.857142857136113
MA_QAOA ,8 ,random0.5  ,1 ,  58 ,0.9166666666662374
MA_QAOA ,8 ,random0.5  ,1 ,  59 ,0.8846687836478391
MA_QAOA ,8 ,random0.5  ,1 ,  60 ,0.8999999999979055
MA_QAOA ,8 ,random0.5  ,1 ,  61 ,0.9166666666632471
