method    ,n ,graph_type ,p ,seed ,AR
TR_ALL_MA,8,random0.5,1,0,0.6111111111163581
TR_ALL_MA,8,random0.5,1,1,0.9166666666656155
TR_ALL_MA,8,random0.5,1,2,0.7916666666636418
TR_ALL_MA,8,random0.5,1,3,0.8999999999990369
TR_ALL_MA,8,random0.5,1,4,0.8999999999993749
TR_ALL_MA,8,random0.5,1,5,0.8999999999994376
TR_ALL_MA,8,random0.5,1,6,0.8333333333331908
TR_ALL_MA,8,random0.5,1,7,0.7857142857112152
TR_ALL_MA,8,random0.5,1,8,0.8214285714245314
TR_ALL_MA,8,random0.5,1,9,0.8181818181815302
TR_ALL_MA,8,random0.5,1,10,0.8888888888814331
TR_ALL_MA,8,random0.5,1,11,0.9545454545429888
TR_ALL_MA,8,random0.5,1,12,0.8636363633125089
TR_ALL_MA,8,random0.5,1,13,0.8999999999976485
TR_ALL_MA,8,random0.5,1,14,0.8636363636350656
TR_ALL_MA,8,random0.5,1,15,0.8999999999986887
TR_ALL_MA,8,random0.5,1,16,0.7142857142849837
TR_ALL_MA,8,random0.5,1,17,0.9374999999995992
TR_ALL_MA,8,random0.5,1,18,0.9166666666646007
TR_ALL_MA,8,random0.5,1,19,0.8749999999993333
TR_ALL_MA,8,random0.5,1,20,0.949999999996977
TR_ALL_MA,8,random0.5,1,21,0.8636363636363623
TR_ALL_MA,8,random0.5,1,22,0.8333333333302367
TR_ALL_MA,8,random0.5,1,23,0.8999999999981758
TR_ALL_MA,8,random0.5,1,24,0.8999999999998753
TR_ALL_MA,8,random0.5,1,26,0.8333333333309191
TR_ALL_MA,8,random0.5,1,27,0.9444444444422577
TR_ALL_MA,8,random0.5,1,28,0.9615384615383421
TR_ALL_MA,8,random0.5,1,29,0.8749999999943431
TR_ALL_MA,8,random0.5,1,30,0.8888888888844709
TR_ALL_MA,8,random0.5,1,31,0.8571428571407562
TR_ALL_MA,8,random0.5,1,32,0.9166666666640535
TR_ALL_MA,8,random0.5,1,33,0.9285714285714265
TR_ALL_MA,8,random0.5,1,34,0.8888888888888375
TR_ALL_MA,8,random0.5,1,35,0.8999999999999545
TR_ALL_MA,8,random0.5,1,36,0.8333333333310811
TR_ALL_MA,8,random0.5,1,37,0.8333333333281931
TR_ALL_MA,8,random0.5,1,38,0.909090909086212
TR_ALL_MA,8,random0.5,1,39,0.9615384615383255
TR_ALL_MA,8,random0.5,1,40,0.8999999999961024
TR_ALL_MA,8,random0.5,1,41,0.8333333333332411
TR_ALL_MA,8,random0.5,1,42,0.6153846153856531
TR_ALL_MA,8,random0.5,1,43,0.8636363636310116
TR_ALL_MA,8,random0.5,1,44,0.8846153846150926
TR_ALL_MA,8,random0.5,1,45,0.8461538461498079
TR_ALL_MA,8,random0.5,1,46,0.8999999999911006
TR_ALL_MA,8,random0.5,1,47,0.9166666666658388
TR_ALL_MA,8,random0.5,1,48,0.8749999999998409
TR_ALL_MA,8,random0.5,1,49,0.8999999999998973
TR_ALL_MA,8,random0.5,1,50,0.8999999999968458
TR_ALL_MA,8,random0.5,1,51,0.7999999999959695
TR_ALL_MA,8,random0.5,1,52,0.8333333333311304
TR_ALL_MA,8,random0.5,1,53,0.7999999999993799
TR_ALL_MA,8,random0.5,1,54,0.7727272727258877
TR_ALL_MA,8,random0.5,1,55,0.8888888888874718
TR_ALL_MA,8,random0.5,1,57,0.8571428571399983
TR_ALL_MA,8,random0.5,1,58,0.8333333333327072
TR_ALL_MA,8,random0.5,1,59,0.8749999999992797
TR_ALL_MA,8,random0.5,1,60,0.8499999999992081
TR_ALL_MA,8,random0.5,1,61,0.8333333333283967
TR_ALL_MA,8,random0.5,1,62,0.8333333333242411
TR_ALL_MA,8,random0.5,1,63,0.8181818181000221
TR_ALL_MA,8,random0.5,1,64,0.8999999999995796
TR_ALL_MA,8,random0.5,1,65,0.899999999990181
TR_ALL_MA,8,random0.5,1,66,0.9499999999986126
TR_ALL_MA,8,random0.5,1,67,0.8461538447904952
TR_ALL_MA,8,random0.5,1,68,0.772727272726829
TR_ALL_MA,8,random0.5,1,69,0.8333333333330226
TR_ALL_MA,8,random0.5,1,70,0.8749999999999837
TR_ALL_MA,8,random0.5,1,71,0.9545454545452391
TR_ALL_MA,8,random0.5,1,72,0.583333333335582
TR_ALL_MA,8,random0.5,1,73,0.8706682062881658
TR_ALL_MA,8,random0.5,1,74,0.9077350269124524
TR_ALL_MA,8,random0.5,1,75,0.625000000002811
TR_ALL_MA,8,random0.5,1,76,0.8333333333333041
TR_ALL_MA,8,random0.5,1,77,0.5833333333372686
TR_ALL_MA,8,random0.5,1,78,0.9999999999993796
TR_ALL_MA,8,random0.5,1,79,0.9642857142856158
TR_ALL_MA,8,random0.5,1,80,0.999999999999698
TR_ALL_MA,8,random0.5,1,81,0.9090909090908803
TR_ALL_MA,8,random0.5,1,82,0.8461538461510059
TR_ALL_MA,8,random0.5,1,83,0.7967643241693716
TR_ALL_MA,8,random0.5,1,84,0.8181818181791134
TR_ALL_MA,8,random0.5,1,86,0.7916666666665524
TR_ALL_MA,8,random0.5,1,87,0.8636363636347631
TR_ALL_MA,8,random0.5,1,88,0.8181818181746695
TR_ALL_MA,8,random0.5,1,89,0.9545454545439275
TR_ALL_MA,8,random0.5,1,90,0.9499999999966064
TR_ALL_MA,8,random0.5,1,91,0.8888888888888192
TR_ALL_MA,8,random0.5,1,93,0.9090909090896063
TR_ALL_MA,8,random0.5,1,94,0.8214285714265114
TR_ALL_MA,8,random0.5,1,95,0.8999999999984956
TR_ALL_MA,8,random0.5,1,96,0.9090909090833551
TR_ALL_MA,8,random0.5,1,97,0.8636363636328003
TR_ALL_MA,8,random0.5,1,98,0.8863636363619997
TR_ALL_MA,8,random0.5,1,99,0.8076923076914686
