layer1: 0.7023489851  beta: 1.2460884665162706
layer2: 0.7273179327  beta: 2.0136829280918063
layer3: 0.7676716670  beta: 1.32430980467969
layer4: 0.7841212598  beta: 0.5845155773629016
layer5: 0.7894370411  beta: 0.6476643380536307
layer6: 0.7953273590  beta: 0.5930858072684677
layer7: 0.8005890465  beta: 0.598313047629358
layer8: 0.8059031311  beta: 0.5914480270650067
layer9: 0.8111604973  beta: 0.5939835963574288
layer10: 0.8164595141  beta: 0.5928498849045855
layer11: 0.8217524314  beta: 0.5909104321026781
layer12: 0.8270143799  beta: 0.5851740912110283
layer13: 0.8321859376  beta: 0.5759960894178773
layer14: 0.8372106890  beta: 0.5628291882831473
layer15: 0.8420292688  beta: 0.5461829040186899
layer16: 0.8465933493  beta: 0.5267293242118478
layer17: 0.8508697349  beta: 0.5056850333837546
layer18: 0.8548462312  beta: 0.4843768622385921
layer19: 0.8585310745  beta: 0.46411817984781933
layer20: 0.8619495964  beta: 0.4459199673331491
--------------------------------------------------------------------------
layer21: 0.8651379850  beta: 0.4304303846784644
layer22: 0.8681372498  beta: 0.41790063000877054
layer23: 0.8709880997  beta: 0.40827125449251095
layer24: 0.8737276092  beta: 0.40124885774862035
layer25: 0.8763872587  beta: 0.396411286096965
layer26: 0.8789922137  beta: 0.3932817213981995
layer27: 0.8815613850  beta: 0.3914044520227633
layer28: 0.8841081530  beta: 0.3903913604559179
layer29: 0.8866414842  beta: 0.3899583390655795
layer30: 0.8891672996  beta: 0.38992854705265473
layer31: 0.8916897748  beta: 0.3902141821651288
layer32: 0.8942123091  beta: 0.3907671282766865
layer33: 0.8967378578  beta: 0.3915181419549046
layer34: 0.8992685159  beta: 0.39231451011748275
layer35: 0.9018044041  beta: 0.39288366667947655
layer36: 0.9043422024  beta: 0.39283703603162057
layer37: 0.9068738636  beta: 0.3917268160103444
layer38: 0.9093861530  beta: 0.3891442495613899
layer39: 0.9118614937  beta: 0.38483251273151087
layer40: 0.9142801763  beta: 0.37877015372192185
layer41: 0.9166234022  beta: 0.3711898010510917
layer42: 0.9188762183  beta: 0.3625216035457355
layer43: 0.9210294220  beta: 0.3532863774164898
layer44: 0.9230799972  beta: 0.34398107384522975
layer45: 0.9250302380  beta: 0.33499455299024494
layer46: 0.9268861171  beta: 0.326569767680964
layer47: 0.9286555076  beta: 0.3188086606763998
layer48: 0.9303466954  beta: 0.3117050085878305
layer49: 0.9319673917  beta: 0.30518948765398624
layer50: 0.9335242692  beta: 0.2991741242756839
layer51: 0.9350229348  beta: 0.2935876363376009
layer52: 0.9364681987  beta: 0.28839659276480034
layer53: 0.9378644785  beta: 0.2836107986131001
layer54: 0.9392161909  beta: 0.27927432374297595
layer55: 0.9405280165  beta: 0.27544649411057354
layer56: 0.9418049786  beta: 0.27217877241234223
layer57: 0.9430523275  beta: 0.2694937505963111
layer58: 0.9442752737  beta: 0.2673711151625804
layer59: 0.9454786390  beta: 0.26574332391802236
layer60: 0.9466665019  beta: 0.264501237210252
layer61: 0.9478419114  beta: 0.26350785979348434
layer62: 0.9490067205  beta: 0.2626167624694431
layer63: 0.9501615688  beta: 0.26169107883965054
layer64: 0.9513060104  beta: 0.26061920545406203
layer65: 0.9524387576  beta: 0.25932457276648535
layer66: 0.9535579901  beta: 0.25776859167810007
layer67: 0.9546616739  beta: 0.255947558010422
layer68: 0.9557478413  beta: 0.2538852461461389
layer69: 0.9568147986  beta: 0.2516230535880277
layer70: 0.9578612460  beta: 0.24920914139832895
layer71: 0.9588863038  beta: 0.24668762444836229
layer72: 0.9598894544  beta: 0.24408879864833755
layer73: 0.9608704136  beta: 0.24142163057279564
layer74: 0.9618289567  beta: 0.23866991852740727
layer75: 0.9627647317  beta: 0.23579332349213297
layer76: 0.9636770997  beta: 0.23273369385125028
layer77: 0.9645650372  beta: 0.22942591264821788
layer78: 0.9654271290  beta: 0.22581123413848533
layer79: 0.9662616573  beta: 0.22185021432676938
layer80: 0.9670667753  beta: 0.21753225092746678
layer81: 0.9678407263  beta: 0.2128795561989668
layer82: 0.9685820656  beta: 0.20794485425428041
layer83: 0.9692898363  beta: 0.20280371185380203
layer84: 0.9699636721  beta: 0.1975436210446337
layer85: 0.9706038128  beta: 0.19225241991328249
layer86: 0.9712110443  beta: 0.18700836541367072
layer87: 0.9717865855  beta: 0.1818734179496473
layer88: 0.9723319501  beta: 0.17689038665177176
layer89: 0.9728488106  beta: 0.17208376294968275
layer90: 0.9733388860  beta: 0.16746345741099494
layer91: 0.9738038626  beta: 0.16303028196665048
layer92: 0.9742453533  beta: 0.158781883496726
layer93: 0.9746648909  beta: 0.15471792772534504
layer94: 0.9750639445  beta: 0.15084363382217159
layer95: 0.9754439505  beta: 0.14717121288055768
